["Freddie Martino", 2550223, "WR"]
["Roosevelt Nix", 2550235, "RB"]
["Justin Perillo", 2550243, "TE"]
["Bernard Reedy", 2550246, "WR"]
["Connor Shaw", 2550252, "QB"]
["Willie Snead", 2550256, "WR"]
["Juwan Thompson", 2550263, "RB"]
["Charcandrick West", 2550268, "RB"]
["Albert Wilson", 2550272, "WR"]
["Trey Burton", 2550284, "TE"]
["Richard Rodgers", 2550313, "TE"]
["Chandler Catanzaro", 2550325, "K"]
["Brandon Coleman", 2550328, "WR"]
["Allen Hurns", 2550353, "WR"]
["Seantavius Jones", 2550359, "WR"]
["Cody Parkey", 2550380, "K"]
["Erik Swoope", 2550405, "TE"]
["Asante Cleveland", 2550454, "TE"]
["Javontee Herndon", 2550459, "WR"]
["Antonio Andrews", 2550474, "RB"]
["Orleans Darkwa", 2550481, "RB"]
["Damien Williams", 2550512, "RB"]
["Xavier Grimble", 2550521, "TE"]
["George Atkinson", 2550540, "RB"]
["Kapri Bibbs", 2550542, "RB"]
["Chris Boswell", 2550545, "K"]
["Corey Brown", 2550546, "WR"]
["Travis Coons", 2550551, "K"]
["Darrin Reaves", 2550596, "RB"]
["Seth Roberts", 2550597, "WR"]
["Taylor Gabriel", 2550617, "WR"]
["Senorise Perry", 2550633, "RB"]
["Cairo Santos", 2550636, "K"]
["Cameron Brate", 2550656, "TE"]
["Branden Oliver", 2550658, "RB"]
["Fitzgerald Toussaint", 2550738, "RB"]
["Glenn Winston", 2551357, "RB"]
["Jerome Cunningham", 2551359, "TE"]
["Jameis Winston", 2552033, "QB"]
["Bryce Petty", 2552369, "QB"]
["Ameer Abdullah", 2552374, "RB"]
["Cameron Artis-Payne", 2552375, "RB"]
["David Cobb", 2552376, "RB"]
["Jeremy Langford", 2552379, "RB"]
["Karlos Williams", 2552380, "RB"]
["Malcolm Brown", 2552382, "RB"]
["Ben Koyack", 2552396, "TE"]
["Clive Walford", 2552397, "TE"]
["Jeff Heuerman", 2552399, "TE"]
["MyCole Pruitt", 2552401, "TE"]
["Nick Boyle", 2552402, "TE"]
["Nick O'Leary", 2552403, "TE"]
["Darren Waller", 2552408, "TE"]
["DeVante Parker", 2552409, "WR"]
["Dezmin Lewis", 2552411, "WR"]
["Jamison Crowder", 2552415, "WR"]
["Justin Hardy", 2552418, "WR"]
["Keith Mumphery", 2552420, "WR"]
["Phillip Dorsett", 2552424, "WR"]
["Rashad Greene", 2552425, "WR"]
["Tre McBride", 2552428, "WR"]
["Ty Montgomery", 2552429, "RB"]
["Tyler Lockett", 2552430, "WR"]
["Vince Mayle", 2552431, "WR"]
["Tevin Coleman", 2552453, "RB"]
["Devin Funchess", 2552458, "WR"]
["Duke Johnson", 2552461, "RB"]
["Gerald Christian", 2552462, "TE"]
["Jaelen Strong", 2552463, "WR"]
["Jalston Fowler", 2552464, "RB"]
["Marcus Mariota", 2552466, "QB"]
["Maxx Williams", 2552468, "TE"]
["Melvin Gordon", 2552469, "RB"]
["Sammie Coates", 2552470, "WR"]
["T.J. Yeldon", 2552471, "RB"]
["Todd Gurley", 2552475, "RB"]
["Aaron Ripkowski", 2552477, "RB"]
["Blake Bell", 2552478, "TE"]
["Amari Cooper", 2552487, "WR"]
["Dorial Green-Beckham", 2552491, "WR"]
["C.J. Uzomah", 2552559, "TE"]
["Sean Mannion", 2552576, "QB"]
["A.J. Derby", 2552580, "TE"]
["Jay Ajayi", 2552582, "RB"]
["Tyler Kroft", 2552586, "TE"]
["Brett Hundley", 2552588, "QB"]
["Breshad Perriman", 2552597, "WR"]
["Nelson Agholor", 2552600, "WR"]
["Stefon Diggs", 2552608, "WR"]
["Chris Manhertz", 2552622, "TE"]
["DeAndre Smelter", 2552627, "WR"]
["Javorius Allen", 2552631, "RB"]
["Jesse James", 2552633, "TE"]
["Matt Jones", 2552635, "RB"]
["Marcus Murphy", 2552647, "RB"]
["Mario Alford", 2552650, "WR"]
["Kaelin Clay", 2552651, "WR"]
["Chris Conley", 2552652, "WR"]
["Geremy Davis", 2552654, "WR"]
["J.J. Nelson", 2552656, "WR"]
["Randall Telfer", 2552660, "TE"]
["Jason Myers", 2553112, "K"]
["James O'Shaughnessy", 2553318, "TE"]
["Kevin White", 2553432, "WR"]
["Devin Smith", 2553434, "WR"]
["David Johnson", 2553435, "RB"]
["Mike Davis", 2553439, "RB"]
["Neal Sterling", 2553451, "TE"]
["Geoff Swaim", 2553454, "TE"]
["Trevor Siemian", 2553457, "QB"]
["Quan Bray", 2553467, "WR"]
["Damiere Byrd", 2553499, "WR"]
["John Crockett", 2553511, "RB"]
["Matt Lengel", 2553554, "TE"]
["Cameron Meredith", 2553568, "WR"]
["Jordan Taylor", 2553606, "WR"]
["Terrell Watson", 2553617, "RB"]
["Lucky Whitehead", 2553621, "WR"]
["Zach Zenner", 2553631, "RB"]
["Andrew Franks", 2553648, "K"]
["Corey Grant", 2553650, "RB"]
["Chris Harper", 2553652, "WR"]
["Akeem Hunt", 2553660, "RB"]
["Jordan Leslie", 2553668, "WR"]
["Bradley Marquez", 2553725, "WR"]
["Raheem Mostert", 2553728, "RB"]
["Thomas Rawls", 2553733, "RB"]
["Eli Rogers", 2553737, "WR"]
["Rod Smith", 2553743, "RB"]
["Eric Tomlinson", 2553744, "TE"]
["Terron Ward", 2553762, "RB"]
["E.J. Bibbs", 2553791, "TE"]
["Will Tye", 2553830, "TE"]
["Josh Lambo", 2553833, "K"]
["Mack Brown", 2553867, "RB"]
["Donteea Dye", 2553876, "WR"]
